"","Wavelength","Emission"
"429",778,0.92749798297882
"430",779,0.92793101072311
"431",780,0.92798399925232
"432",781,0.92918801307678
"433",782,0.93052500486374
"434",783,0.93165999650955
"435",784,0.93297302722931
"436",785,0.93465399742126
"437",786,0.93643498420715
"438",787,0.93769502639771
"439",788,0.93946200609207
"440",789,0.94156497716904
"441",790,0.94278502464294
"442",791,0.94424098730087
"443",792,0.9454420208931
"444",793,0.94653701782227
"445",794,0.94693398475647
"446",795,0.94711798429489
"447",796,0.94725298881531
"448",797,0.94794499874115
"449",798,0.94426101446152
"450",799,0.94536399841309
"451",800,0.94392001628876
"452",801,0.94253998994827
"453",802,0.94133400917053
"454",803,0.93956798315048
"455",804,0.93794000148773
"456",805,0.93650698661804
"457",806,0.93506699800491
"458",807,0.93362402915955
"459",808,0.93182098865509
"460",809,0.92955899238586
"461",810,0.9281610250473
"462",811,0.92703801393509
"463",812,0.92608600854874
"464",813,0.92574602365494
"465",814,0.92463099956512
"466",815,0.92348098754883
"467",816,0.92317599058151
"468",817,0.92295402288437
"469",818,0.9234139919281
"470",819,0.92454302310944
"471",820,0.92661899328232
"472",821,0.92806798219681
"473",822,0.9292259812355
"474",823,0.93047899007797
"475",824,0.93222999572754
"476",825,0.9333930015564
"477",826,0.93484300374985
"478",827,0.93640398979187
"479",828,0.93846499919891
"480",829,0.93983799219131
"481",830,0.94028502702713
"482",831,0.94156897068024
"483",832,0.94334602355957
"484",833,0.94496202468872
"485",834,0.94630998373032
"486",835,0.94728600978851
"487",836,0.94847202301025
"488",837,0.9487389922142
"489",838,0.94807797670364
"490",839,0.94788402318954
"491",840,0.94805300235748
"492",841,0.9475240111351
"493",842,0.94671601057053
"494",843,0.94604700803757
"495",844,0.94559699296951
"496",845,0.94489097595215
"497",846,0.94418799877167
"498",847,0.94374597072601
"499",848,0.94321000576019
"500",849,0.94210201501846
"501",850,0.94030797481537
"502",851,0.93872302770615
"503",852,0.93771302700043
"504",853,0.93633198738098
"505",854,0.93556499481201
"506",855,0.93475598096848
"507",856,0.93388497829437
"508",857,0.93262100219727
"509",858,0.9326159954071
"510",859,0.93292701244354
"511",860,0.93309700489044
"512",861,0.93272000551224
"513",862,0.93300801515579
"514",863,0.93350499868393
"515",864,0.93466001749039
"516",865,0.9349650144577
"517",866,0.93586397171021
"518",867,0.937156021595
"519",868,0.93803000450134
"520",869,0.9388809800148
"521",870,0.93991702795029
"522",871,0.94141900539398
"523",872,0.94265902042389
"524",873,0.94373601675034
"525",874,0.94452500343323
"526",875,0.94552999734879
"527",876,0.94624501466751
"528",877,0.94711297750473
"529",878,0.94713097810745
"530",879,0.94692897796631
"531",880,0.94677197933197
"532",881,0.94656497240067
"533",882,0.94628697633743
"534",883,0.94575798511505
"535",884,0.94508397579193
